Rating,Industry,Sector,Revenue,cada_hora,empleador,sueldo_min,sueldo_max,sueldo_promedio,titulo,senioridad,python_yn,r_yn,spark_yn,aws_yn,excel_yn,len_desc,compania,estado,HQ,tamano,ano,org,num_comps
2.7,Research & Development,Business Services,$50 to $100 million (USD),0,0,50,102,76.0,na,na,0,0,0,0,1,2653,EAG Laboratories,MO,0,501-1000 ,42,subsidiary,-1
3.9,IT Services,Information Technology,$100 to $500 million (USD),0,0,85,139,112.0,cientifico de datos,senior,1,0,1,0,0,4427,The Buffalo Group,VA,0,501-1000 ,10,privado,3
3.1,Mining,Mining & Metals,$1 to $2 billion (USD),0,0,74,122,98.0,cientifico de datos,na,1,0,0,0,0,2609,Carmeuse,PA,0,1001-5000 ,160,privado,3
4.0,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,0,0,99,157,128.0,cientifico de datos,senior,0,0,1,1,0,4295,HP Inc.,WA,0,10000+ ,81,publico,-1
4.3,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,79,222,150.5,cientifico de datos,na,1,0,1,1,1,3405,h2o.ai,CA,1,201-500 ,9,privado,-1
1.9,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),0,0,57,118,87.5,na,na,0,0,0,1,0,5153,GNS Healthcare,MA,1,51-200 ,20,privado,-1
3.3,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),0,0,83,137,110.0,cientifico de datos,na,1,0,0,0,1,3381,Peraton,VA,0,1001-5000 ,3,privado,-1
4.4,IT Services,Information Technology,$500 million to $1 billion (USD),0,0,86,141,113.5,cientifico de datos,na,1,0,0,0,1,879,Pactera,CA,0,10000+ ,25,privado,3
3.9,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),0,0,94,154,124.0,cientifico de datos,na,1,0,0,0,0,4189,Nurx,CA,1,51-200 ,4,privado,-1
4.7,Advertising & Marketing,Business Services,$25 to $50 million (USD),0,0,37,76,56.5,analysta de datos,junior,0,0,0,0,1,4424,webfx.com,PA,1,201-500 ,23,privado,-1
4.5,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),0,0,100,160,130.0,cientifico de datos,na,1,0,0,0,1,2996,Johns Hopkins University Applied Physics Laboratory,MD,1,5001-10000 ,78,sin_lucro,3
4.3,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),0,0,55,100,77.5,analysta de datos,na,0,0,0,0,1,3682,Productive Edge,IL,1,51-200 ,12,privado,3
4.0,Consulting,Business Services,$50 to $100 million (USD),0,0,60,114,87.0,ingeniero de datos,na,1,0,0,1,1,3819,Excella Consulting,VA,1,201-500 ,18,privado,-1
4.4,Wholesale,Business Services,$100 to $500 million (USD),0,0,39,68,53.5,analysta de datos,na,0,0,0,0,1,1791,Gensco,WA,1,501-1000 ,72,privado,-1
3.2,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),0,0,106,172,139.0,cientifico de datos,na,0,0,0,0,0,3934,Walmart,TX,0,10000+ ,58,publico,3
3.8,Consulting,Business Services,$25 to $50 million (USD),0,0,86,142,114.0,cientifico de datos,na,1,0,1,1,1,3804,Logic20/20,CA,0,201-500 ,15,privado,-1
4.2,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),0,0,64,107,85.5,cientifico de datos,na,1,0,1,0,1,3204,goTRG,FL,1,501-1000 ,12,privado,-1
4.5,IT Services,Information Technology,$25 to $50 million (USD),0,0,31,65,48.0,na,na,0,0,0,0,1,2253,NMR Consulting,AL,0,51-200 ,24,privado,-1
3.5,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,34,62,48.0,analysta de datos,na,0,0,0,0,1,2772,iSeatz,LA,1,51-200 ,21,privado,-1
3.5,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),0,0,117,231,174.0,na,senior,0,0,0,0,1,4751,Nektar Therapeutics,CA,1,201-500 ,30,publico,3
3.9,Financial Analytics & Research,Finance,$1 to $2 billion (USD),0,0,64,106,85.0,cientifico de datos,na,1,0,1,0,0,2380,TransUnion,GA,0,5001-10000 ,52,publico,-1
4.7,IT Services,Information Technology,$10 to $25 million (USD),0,0,79,134,106.5,na,na,0,0,0,0,0,2723,IT Concepts,MD,0,51-200 ,17,privado,-1
4.2,IT Services,Information Technology,$100 to $500 million (USD),0,0,52,93,72.5,analysta de datos,na,0,0,0,0,1,2337,Scientific Research Corporation,MD,0,1001-5000 ,32,privado,-1
3.4,IT Services,Information Technology,$10+ billion (USD),0,0,55,116,85.5,na,na,0,0,0,0,0,4088,General Dynamics Information Technology,MD,0,10000+ ,24,subsidiary,3
3.2,Federal Agencies,Government,$1 to $2 billion (USD),0,0,72,123,97.5,cientifico de datos,na,1,0,0,0,1,5342,MITRE,VA,0,5001-10000 ,62,sin_lucro,3
3.9,IT Services,Information Technology,$100 to $500 million (USD),0,0,74,124,99.0,cientifico de datos,na,1,0,0,0,1,2588,The Buffalo Group,VA,0,501-1000 ,10,privado,3
3.1,Insurance Carriers,Insurance,$2 to $5 billion (USD),0,0,40,73,56.5,analysta de datos,na,0,0,0,0,1,4203,DentaQuest,WI,0,1001-5000 ,19,privado,3
4.1,IT Services,Information Technology,Unknown / Non-Applicable,0,0,102,164,133.0,cientifico de datos,na,1,0,0,0,0,5467,Redjack,MD,1,1-50 ,13,privado,-1
