ID_MES,ID_PAIS,ID_CONTINENTE,ID_OCM,NUMERO_VISITANTES
1,48,2,4,67
1,48,2,5,46
1,48,2,6,807
1,49,4,1,464
1,49,4,2,17
1,49,4,3,17
1,49,4,4,12
1,49,4,5,16
1,49,4,6,78
1,50,2,1,2472
1,50,2,2,58
1,50,2,3,2
1,50,2,4,0
1,50,2,5,13
1,50,2,6,19
1,51,6,1,1
1,51,6,2,0
1,51,6,3,0
1,51,6,4,0
1,51,6,5,0
1,51,6,6,1
1,52,4,1,2031
1,52,4,2,31
1,52,4,3,66
1,52,4,4,52
1,52,4,5,60
1,52,4,6,135
1,53,6,1,0
1,53,6,2,0
1,53,6,3,0
1,53,6,4,0
1,53,6,5,0
1,53,6,6,0
1,54,2,1,13
1,54,2,2,6
1,54,2,3,1
1,54,2,4,0
1,54,2,5,1
1,54,2,6,2
1,55,3,1,17460
1,55,3,2,4265
1,55,3,3,482
1,55,3,4,179
1,55,3,5,71025
1,55,3,6,14527
1,56,1,1,206277
1,56,1,2,880
1,56,1,3,395
1,56,1,4,209
1,56,1,5,989
1,56,1,6,12143
1,57,6,1,93
1,57,6,2,0
1,57,6,3,3
1,57,6,4,0
1,57,6,5,2
1,57,6,6,3
1,58,2,1,1812
1,58,2,2,12
1,58,2,3,3
1,58,2,4,3
1,58,2,5,9
1,58,2,6,44
1,59,5,1,55
1,59,5,2,0
1,59,5,3,0
1,59,5,4,0
1,59,5,5,0
1,59,5,6,3
1,60,6,1,3
1,60,6,2,0
1,60,6,3,0
1,60,6,4,0
1,60,6,5,0
1,60,6,6,0
1,61,4,1,580
1,61,4,2,20
1,61,4,3,38
1,61,4,4,23
1,61,4,5,10
1,61,4,6,19
1,62,4,1,216
1,62,4,2,7
1,62,4,3,8
1,62,4,4,8
1,62,4,5,14
1,62,4,6,11
1,63,4,1,50376
1,63,4,2,664
1,63,4,3,572
1,63,4,4,298
1,63,4,5,531
1,63,4,6,855
1,64,4,1,298
1,64,4,2,2
1,64,4,3,3
1,64,4,4,2
1,64,4,5,1
1,64,4,6,10
1,65,6,1,33
1,65,6,2,0
1,65,6,3,0
1,65,6,4,0
1,65,6,5,0
1,65,6,6,4
1,66,4,1,54
1,66,4,2,1
1,66,4,3,2
1,66,4,4,0
1,66,4,5,0
1,66,4,6,6
1,67,7,1,4
1,67,7,2,2
1,67,7,3,0
1,67,7,4,0
1,67,7,5,0
1,67,7,6,2
1,68,5,1,1195
1,68,5,2,2
1,68,5,3,12
1,68,5,4,4
1,68,5,5,9
1,68,5,6,781
1,69,4,1,841
1,69,4,2,25
1,69,4,3,19
1,69,4,4,35
1,69,4,5,27
1,69,4,6,46
1,70,4,1,20996
1,70,4,2,787
1,70,4,3,1303
1,70,4,4,926
1,70,4,5,736
1,70,4,6,1269
1,71,6,1,0
1,71,6,2,0
1,71,6,3,0
1,71,6,4,0
1,71,6,5,0
1,71,6,6,0
1,72,6,1,0
1,72,6,2,0
1,72,6,3,0
1,72,6,4,0
1,72,6,5,0
1,72,6,6,0
1,73,5,1,27
1,73,5,2,0
1,73,5,3,0
1,73,5,4,0
1,73,5,5,0
1,73,5,6,2
1,74,6,1,17
1,74,6,2,0
1,74,6,3,0
1,74,6,4,0
1,74,6,5,0
1,74,6,6,2
1,75,2,1,35
1,75,2,2,0
1,75,2,3,1
1,75,2,4,1
1,75,2,5,0
1,75,2,6,6
1,76,4,1,676
1,76,4,2,19
1,76,4,3,21
1,76,4,4,18
1,76,4,5,13
1,76,4,6,54
1,77,4,1,0
1,77,4,2,0
1,77,4,3,0
1,77,4,4,0
1,77,4,5,0
1,77,4,6,0
1,78,2,1,2665
1,78,2,2,15
1,78,2,3,12
1,78,2,4,10
1,78,2,5,24
1,78,2,6,95
1,79,6,1,2
1,79,6,2,0
1,79,6,3,0
1,79,6,4,0
1,79,6,5,0
1,79,6,6,0
1,80,6,1,0
1,80,6,2,0
1,80,6,3,0
1,80,6,4,0
1,80,6,5,0
1,80,6,6,0
1,81,6,1,2
1,81,6,2,0
1,81,6,3,0
1,81,6,4,0
1,81,6,5,0
1,81,6,6,0
1,82,3,1,62
1,82,3,2,0
1,82,3,3,0
1,82,3,4,0
1,82,3,5,1
1,82,3,6,2
1,83,2,1,73
1,83,2,2,25
1,83,2,3,1
1,83,2,4,0
1,83,2,5,1
1,83,2,6,1
1,84,2,1,1261
1,84,2,2,39
1,84,2,3,8
1,84,2,4,1
1,84,2,5,28
1,84,2,6,53
1,85,5,1,958
1,85,5,2,15
1,85,5,3,51
1,85,5,4,22
1,85,5,5,9
1,85,5,6,152
1,86,4,1,710
1,86,4,2,17
1,86,4,3,15
1,86,4,4,16
1,86,4,5,20
1,86,4,6,45
1,87,5,1,2218
1,87,5,2,37
1,87,5,3,20
1,87,5,4,10
1,87,5,5,12
1,87,5,6,460
1,88,5,1,644
1,88,5,2,5
1,88,5,3,0
1,88,5,4,1
1,88,5,5,4
1,88,5,6,317
1,89,5,1,4
1,89,5,2,0
1,89,5,3,0
1,89,5,4,0
1,89,5,5,0
1,89,5,6,0
1,90,5,1,42
1,90,5,2,3
1,90,5,3,2
1,90,5,4,0
1,90,5,5,2
1,90,5,6,2
1,91,4,1,1568
1,91,4,2,34
1,91,4,3,78
1,91,4,4,56
1,91,4,5,87
1,91,4,6,172
1,92,7,1,0
1,92,7,2,0
1,92,7,3,0
1,92,7,4,0
1,92,7,5,0
1,92,7,6,0
1,93,4,1,122
1,93,4,2,0
1,93,4,3,2
1,93,4,4,0
1,93,4,5,0
1,93,4,6,4
1,94,5,1,2850
1,94,5,2,50
1,94,5,3,144
1,94,5,4,59
1,94,5,5,42
1,94,5,6,126
1,95,4,1,20049
1,95,4,2,281
1,95,4,3,353
1,95,4,4,226
1,95,4,5,252
1,95,4,6,717
1,96,2,1,222
1,96,2,2,0
1,96,2,3,1
1,96,2,4,2
1,96,2,5,0
1,96,2,6,5
1,97,5,1,9635
1,97,5,2,49
1,97,5,3,258
1,97,5,4,130
1,97,5,5,122
1,97,5,6,1898
1,98,5,1,39
1,98,5,2,1
1,98,5,3,0
1,98,5,4,0
1,98,5,5,1
1,98,5,6,1
1,99,5,1,28
1,99,5,2,0
1,99,5,3,0
1,99,5,4,0
1,99,5,5,0
1,99,5,6,0
1,100,5,1,46
1,100,5,2,0
1,100,5,3,0
1,100,5,4,0
1,100,5,5,0
1,100,5,6,0
1,101,6,1,39
1,101,6,2,0
1,101,6,3,1
1,101,6,4,0
1,101,6,5,0
1,101,6,6,7
1,102,5,1,10
1,102,5,2,0
1,102,5,3,0
1,102,5,4,0
1,102,5,5,0
1,102,5,6,1
1,103,7,1,0
1,103,7,2,0
1,103,7,3,0
1,103,7,4,0
1,103,7,5,0
1,103,7,6,0
1,104,5,1,27
1,104,5,2,0
1,104,5,3,0
1,104,5,4,0
1,104,5,5,0
1,104,5,6,0
1,105,5,1,4
1,105,5,2,0
1,105,5,3,0
1,105,5,4,0
1,105,5,5,0
1,105,5,6,0
1,106,6,1,1
1,106,6,2,0
1,106,6,3,0
1,106,6,4,0
1,106,6,5,0
1,106,6,6,0
1,107,4,1,219
1,107,4,2,10
1,107,4,3,7
1,107,4,4,1
1,107,4,5,6
1,107,4,6,21
1,108,5,1,46
1,108,5,2,2
1,108,5,3,0
1,108,5,4,0
1,108,5,5,3
1,108,5,6,2
1,109,6,1,2
1,109,6,2,0
1,109,6,3,0
1,109,6,4,0
1,109,6,5,0
1,109,6,6,0
1,110,6,1,3
1,110,6,2,0
1,110,6,3,0
1,110,6,4,0
1,110,6,5,0
1,110,6,6,0
1,111,4,1,14
1,111,4,2,0
1,111,4,3,0
1,111,4,4,0
1,111,4,5,2
1,111,4,6,1
1,112,4,1,445
